,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
317,2,0.25,0.801,0.501,0.1,0.1,1.2,10,99.9985579073792
318,2,0.75,0.801,0.501,0.1,0.1,1.2,8,99.9975731668566
319,2,0.25,0.901,0.501,0.1,0.1,1.2,9,99.9987979157166
320,2,0.75,0.901,0.501,0.1,0.1,1.2,10,99.9969595388131
321,2,0.25,0.001,0.601,0.1,0.1,1.2,27,99.9707982876817
322,2,0.75,0.001,0.601,0.1,0.1,1.2,15,99.9785861042074
323,2,0.25,0.101,0.601,0.1,0.1,1.2,9,99.9979072383511
324,2,0.75,0.101,0.601,0.1,0.1,1.2,9,99.9955990576576
325,2,0.25,0.201,0.601,0.1,0.1,1.2,10,99.9980481795371
326,2,0.75,0.201,0.601,0.1,0.1,1.2,9,99.9966474945234
327,2,0.25,0.301,0.601,0.1,0.1,1.2,10,99.9983338308058
328,2,0.75,0.301,0.601,0.1,0.1,1.2,10,99.9963701629595
329,2,0.25,0.401,0.601,0.1,0.1,1.2,10,99.9985918142276
330,2,0.75,0.401,0.601,0.1,0.1,1.2,16,99.9962953714979
331,2,0.25,0.501,0.601,0.1,0.1,1.2,10,99.9986663213465
332,2,0.75,0.501,0.601,0.1,0.1,1.2,8,99.9973899604275
333,2,0.25,0.601,0.601,0.1,0.1,1.2,9,99.9987109242213
334,2,0.75,0.601,0.601,0.1,0.1,1.2,10,99.9967254144604
335,2,0.25,0.701,0.601,0.1,0.1,1.2,8,99.9988892522624
336,2,0.75,0.701,0.601,0.1,0.1,1.2,9,99.9977246513819
337,2,0.25,0.801,0.601,0.1,0.1,1.2,10,99.998672858333
338,2,0.75,0.801,0.601,0.1,0.1,1.2,8,99.9975956714912
339,2,0.25,0.901,0.601,0.1,0.1,1.2,10,99.9988525026112
340,2,0.75,0.901,0.601,0.1,0.1,1.2,10,99.9977171569651
341,2,0.25,0.001,0.701,0.1,0.1,1.2,30,99.9726633161698
342,2,0.75,0.001,0.701,0.1,0.1,1.2,19,99.9746773218558
343,2,0.25,0.101,0.701,0.1,0.1,1.2,10,99.998463766099
344,2,0.75,0.101,0.701,0.1,0.1,1.2,10,99.9969232074373
345,2,0.25,0.201,0.701,0.1,0.1,1.2,10,99.9985524543138
346,2,0.75,0.201,0.701,0.1,0.1,1.2,10,99.9973002042522
347,2,0.25,0.301,0.701,0.1,0.1,1.2,10,99.9988193219098
348,2,0.75,0.301,0.701,0.1,0.1,1.2,10,99.997672318131
349,2,0.25,0.401,0.701,0.1,0.1,1.2,9,99.9989038199393
350,2,0.75,0.401,0.701,0.1,0.1,1.2,10,99.9968971385083
351,2,0.25,0.501,0.701,0.1,0.1,1.2,10,99.998850195878
352,2,0.75,0.501,0.701,0.1,0.1,1.2,9,99.9977008167885
