,fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
4.19,1,3,1.2,0.7,0.0075,2,0.9,persistence,0.5,100
4.20,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.21,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.22,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.23,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.24,1,3,1.2,0.7,0.0075,2,0.9,persistence,0.5,99
4.25,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,99
4.26,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.27,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.28,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.29,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,97
4.30,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.31,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.32,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.33,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.34,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.35,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.36,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,99
4.37,1,3,1.2,0.7,0.0075,2,0.9,persistence,2,100
4.38,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.39,1,3,1.2,0.7,0.0075,2,0.9,persistence,0.5,99
4.40,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,99
4.41,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.42,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.43,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.44,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.45,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.46,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.47,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.48,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.49,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.50,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.51,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.52,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.53,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.54,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.55,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.56,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,99
4.57,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.58,1,3,1.2,0.7,0.0075,2,0.9,persistence,0.5,100
4.59,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.60,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.61,1,3,1.2,0.7,0.0075,2,0.9,persistence,2,100
4.62,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.63,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.64,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.65,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.66,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.67,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.68,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.69,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,99
4.70,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.71,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.72,1,3,1.2,0.7,0.0075,2,0.9,persistence,2,100
4.73,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.74,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.75,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,99
4.76,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.77,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,99
4.78,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.79,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.80,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,99
4.81,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.82,1,3,1.2,0.7,0.0075,2,0.9,persistence,1,100
4.83,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.84,1,3,1.2,0.7,0.0075,2,0.9,persistence,0,100
4.85,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
4.86,1,3,1.2,0.7,0.0075,2,0.9,persistence,1.5,100
